name,country,latitude,longitude,suburb,property_type,room_type,bed_type,price,number_of_reviews,rating,occupancy_30,occupancy_60,occupancy_90,occupancy_365
New Renovated Private 1 bed/bath in Prime Location,United States,40.78071,-73.95149,Upper East Side,Apartment,Private room,Real Bed,150.0,3,9.0,1.0,1.0,1.0,1.0
"Room in just-refurbished, classic brownstone flat.",United States,40.67213,-73.98141,Brooklyn,Apartment,Private room,Real Bed,75.0,0,,1.0,1.0,1.0,1.0
"Kapalua Ridge 511-13. Spacious villa offering one-of-a kind ocean, coastal, island AND golf views!",United States,21.00118,-156.6585,Westside,Villa,Entire home/apt,Real Bed,380.0,5,10.0,0.7333333333333334,0.65,0.4333333333333333,0.2465753424657534
Central Park North $140 - 1 BR with yard,United States,40.80142,-73.95487,Manhattan,Apartment,Private room,Real Bed,140.0,45,10.0,0.0999999999999999,0.1166666666666667,0.0777777777777777,0.5287671232876712
Perfect Peaceful Hale,United States,21.25936,-157.79182,South Shore,House,Entire home/apt,Real Bed,417.0,21,10.0,0.4333333333333333,0.5666666666666667,0.6222222222222222,0.3643835616438355
Cute Beachside Get Away,Australia,-33.92647,151.25463,Coogee,Apartment,Entire home/apt,Real Bed,139.0,1,10.0,1.0,1.0,1.0,1.0
M&S Apartments Porto,Portugal,41.16171,-8.60524,Porto,Apartment,Entire home/apt,Real Bed,49.0,13,7.0,1.0,1.0,1.0,1.0
Acogedor alojamiento en SAGRADA FAMILIA,Spain,41.40419,2.16632,Gràcia,Apartment,Private room,Real Bed,29.0,59,10.0,0.8,0.6333333333333333,0.4222222222222223,0.7890410958904109
"LARGE LUXURY 2bed,w/King,Queen & Full, TIMES SQ",United States,40.76438,-73.9886,Hell's Kitchen,Apartment,Entire home/apt,Real Bed,350.0,77,10.0,0.5666666666666667,0.75,0.7666666666666666,0.452054794520548
Bright & Airy Private Room near L/JMZ trains,United States,40.70341,-73.9292,Brooklyn,Apartment,Private room,Real Bed,54.0,3,10.0,1.0,1.0,1.0,1.0
relaxing in Porto,Portugal,41.16264,-8.62281,Porto,Apartment,Entire home/apt,Real Bed,35.0,26,10.0,1.0,1.0,1.0,0.9589041095890412
Lanikai Plantation - 4 bedrooms/3 baths,United States,21.38483,-157.71179,Oʻahu,House,Private room,Real Bed,595.0,2,10.0,0.7333333333333334,0.5333333333333333,0.3555555555555555,0.6027397260273972
ATAŞEHİR VARYAP MERİDİAN 50. KAT MANZARALI SUITE,Turkey,41.0009,29.10406,Ataşehir,Serviced apartment,Entire home/apt,Real Bed,269.0,45,10.0,0.0666666666666666,0.0333333333333333,0.0222222222222222,0.0054794520547944
Outstanding Glebe Apartment,Australia,-33.87946,151.19174,Glebe,Apartment,Entire home/apt,Real Bed,135.0,99,9.0,0.3666666666666667,0.1833333333333333,0.1222222222222222,0.7808219178082192
"Big, bright, and beautiful bedroom!",United States,40.68171,-73.92628,Brooklyn,Apartment,Private room,Real Bed,100.0,0,,0.9333333333333332,0.9666666666666668,0.9777777777777776,0.4821917808219178
Friendly & Conveniently Home at Bondi Junction,Australia,-33.89401,151.24273,Bondi Junction,House,Private room,Real Bed,58.0,25,9.0,1.0,1.0,1.0,1.0
St Hubert street luxury 2 bedroom dream Loft,Canada,45.53488,-73.60038,Rosemont-La Petite-Patrie,House,Entire home/apt,Real Bed,199.0,140,10.0,0.4333333333333333,0.2166666666666666,0.1666666666666666,0.0958904109589041
Manhattan Cozy Room by Columbia Uni,United States,40.80213,-73.94754,Harlem,Apartment,Private room,Real Bed,53.0,62,9.0,0.9333333333333332,0.5666666666666667,0.7,0.2027397260273973
Triple Room  - Ocean's 7 Hotel,Turkey,41.00318,28.97887,Fatih,Apartment,Private room,Real Bed,148.0,1,,0.0666666666666666,0.0333333333333333,0.0222222222222222,0.221917808219178
Two rooms with great view sagrada familia,Spain,41.39056,2.17074,Dreta de l'Eixample,Apartment,Private room,Real Bed,100.0,5,8.0,0.7666666666666666,0.4499999999999999,0.3444444444444444,0.084931506849315
Enjoy your stay at CyrstalSilver house,Australia,-33.72241,150.73077,Jordan Springs,House,Private room,Real Bed,40.0,29,10.0,0.3,0.3666666666666667,0.2444444444444444,0.0602739726027397
Heart of the City-Cozy Room Private Sunny Balcony!,Spain,41.39925,2.15881,Gràcia,Apartment,Private room,Real Bed,14.0,47,9.0,0.3666666666666667,0.1833333333333333,0.1222222222222222,0.7835616438356164
Flat Duplex Ipanema All Service Luxo Com Serviços,Brazil,-22.97874838432402,-43.20396556253349,Ipanema,Serviced apartment,Entire home/apt,Real Bed,601.0,2,10.0,1.0,1.0,1.0,1.0
Peaceful hometown with perfect sea and forest view,Turkey,40.97867,28.78406,Bakırköy,Apartment,Entire home/apt,Real Bed,501.0,15,10.0,0.5,0.6,0.4777777777777777,0.6630136986301369
Unit close to CBD available for Christmas & NYE!,Australia,-33.90947,151.13138,Hurlstone Park,Apartment,Entire home/apt,Real Bed,70.0,2,10.0,1.0,1.0,1.0,1.0
Nice appartment in Ahuntsic Montreal,Canada,45.55369,-73.62827,Ahuntsic-Cartierville,Apartment,Entire home/apt,Real Bed,81.0,2,4.0,1.0,1.0,1.0,1.0
Cozy Nest Stunning Bathroom Near OldPort & DT,Canada,45.53688,-73.55818,Le Plateau-Mont-Royal,Apartment,Entire home/apt,Real Bed,75.0,111,10.0,0.8333333333333334,0.6833333333333333,0.6555555555555556,0.8958904109589041
Cozy studio in front of Parc La Fonteine,Canada,45.52813,-73.57349,Le Plateau,Apartment,Entire home/apt,Real Bed,40.0,18,9.0,1.0,1.0,1.0,1.0
Beautiful 4 level terrace in the heart of Sydney!,Australia,-33.88672,151.19858,Chippendale,House,Entire home/apt,Real Bed,274.0,3,10.0,1.0,1.0,1.0,1.0
5 Room Villa in Oporto Center,Portugal,41.15624,-8.59597,Porto,House,Entire home/apt,Real Bed,160.0,3,9.0,1.0,1.0,1.0,0.6383561643835616
The Paddington Cottage | Sydney Eastern Suburbs,Australia,-33.88325,151.22243,Paddington,House,Entire home/apt,Real Bed,350.0,21,10.0,1.0,1.0,1.0,1.0
Charming Family House with Garden (6981/AL),Portugal,41.15206,-8.65228,Porto,Townhouse,Entire home/apt,Real Bed,55.0,171,10.0,1.0,0.8166666666666667,0.6888888888888889,0.3890410958904109
Fabulous Beach Front Penthouse,Portugal,41.30637,-8.73638,Mindelo,Apartment,Entire home/apt,Real Bed,200.0,12,10.0,0.0,0.0,0.0,0.1123287671232876
High Floor-Ocean View! 2 Bed/2 Ba/1 Pkg WBT#2302,United States,21.27477,-157.8236,Honolulu,Condominium,Entire home/apt,Real Bed,551.0,9,10.0,0.8666666666666667,0.7333333333333334,0.7,0.5095890410958904
Oporto Sunset Blue Balcony ❤,Portugal,41.14907,-8.60324,Porto,Apartment,Entire home/apt,Real Bed,75.0,109,10.0,0.6666666666666667,0.3333333333333333,0.2222222222222222,0.0547945205479452
Central location,Turkey,41.05292,28.98612,Şişli,Apartment,Entire home/apt,Real Bed,221.0,0,,0.0,0.0,0.0,0.0
kiralık oda,Turkey,40.98823,29.05299,Kadıköy,Casa particular (Cuba),Private room,Real Bed,47.0,0,,0.0,0.0,0.0,0.0
North Shore Beach Bungalow Just Steps to the Sand!,United States,21.58216,-158.12406,North Shore,Bungalow,Private room,Real Bed,95.0,123,10.0,0.2666666666666667,0.2333333333333332,0.3333333333333333,0.6
"Lovely Studio for two! twinbed, wifi, CWB MTR",Hong Kong,22.28134,114.18182,Wan Chai District,Apartment,Entire home/apt,Real Bed,447.0,88,9.0,0.6333333333333333,0.4166666666666666,0.2777777777777778,0.0794520547945205
Nice big room near Downtown,Brazil,-22.932397564673835,-43.17475739253271,Flamengo,Apartment,Private room,Real Bed,224.0,3,9.0,0.4333333333333333,0.35,0.2333333333333332,0.0575342465753424
Brand new flat! 2 BR + study (720 sqft),Hong Kong,22.29569,114.27492,Hong Kong,Apartment,Entire home/apt,Real Bed,699.0,2,10.0,1.0,1.0,1.0,1.0
Entire house in the heart of the Plateau,Canada,45.53528,-73.57801,Le Plateau,House,Entire home/apt,Real Bed,189.0,9,10.0,0.0666666666666666,0.0333333333333333,0.0333333333333333,0.5945205479452055
Clean and cosy bedroom,Turkey,41.02143,29.01822,Üsküdar,Apartment,Private room,Real Bed,84.0,0,,0.0,0.0,0.0,0.7534246575342466
Taşdelen kardiyum sakin oda,Turkey,41.03629,29.22225,Çekmeköy,Apartment,Entire home/apt,Real Bed,69.0,0,,0.0333333333333333,0.0166666666666667,0.011111111111111,0.7561643835616438
Bright and Breezy Bondi Beach Pad,Australia,-33.88826,151.27232,Bondi Beach,Apartment,Entire home/apt,Real Bed,141.0,40,9.0,0.6333333333333333,0.3166666666666666,0.2111111111111111,0.5561643835616439
Character renovated house close to city,Australia,-33.87791,151.18843,Glebe,House,Entire home/apt,Real Bed,264.0,56,10.0,1.0,1.0,1.0,1.0
Comfortable Flat in İstanbul,Turkey,41.08107,28.99931,Şişli,Apartment,Private room,Real Bed,105.0,0,,1.0,1.0,1.0,1.0
Spacious private room close St. Barnabas Hospital,United States,40.84647,-73.89299,The Bronx,Apartment,Private room,Real Bed,38.0,27,9.0,0.9666666666666668,0.4833333333333333,0.3222222222222222,0.0794520547945205
Entire MASSIVE apt. for 4 ppl 1 Block from Subway,United States,40.72571,-73.84944,Queens,Apartment,Entire home/apt,Real Bed,197.0,24,10.0,1.0,1.0,1.0,1.0
Atico en Paseo de Gracia,Spain,41.39542,2.16073,Eixample,Apartment,Entire home/apt,Real Bed,106.0,35,8.0,0.9333333333333332,0.9166666666666666,0.8111111111111111,0.8465753424657534
MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,41.38974,2.15816,Eixample,Apartment,Entire home/apt,Real Bed,74.0,0,,1.0,1.0,1.0,0.4986301369863013
日本人がﾎｽﾄする香港西貢のAirbnb,Hong Kong,22.39392,114.28777,香港,Apartment,Private room,Real Bed,353.0,6,10.0,0.5333333333333333,0.7666666666666666,0.6222222222222222,0.3424657534246575
Oporto Center Spot,Portugal,41.14557,-8.60732,Porto,Apartment,Entire home/apt,Real Bed,60.0,87,10.0,0.9,0.85,0.8333333333333334,0.8602739726027397
The Porto Concierge - Horus House,Portugal,41.1671,-8.61001,Porto,Apartment,Entire home/apt,Real Bed,50.0,30,9.0,0.3333333333333333,0.1666666666666666,0.1555555555555555,0.0986301369863014
Club Cliff for a great beach vacation.,Australia,-33.80067,151.28998,Manly,Townhouse,Entire home/apt,Real Bed,600.0,2,10.0,0.0999999999999999,0.05,0.0333333333333333,0.7589041095890411
Chambre double- à deux pas du métro,Canada,45.54549,-73.63168,Villeray-Saint-Michel-Parc-Extension,Apartment,Private room,Real Bed,23.0,3,9.0,1.0,1.0,1.0,1.0
Cebu Hotel Deluxe Single Room #3 Ensuite Bathroom,Hong Kong,22.29738,114.17237,Tsim Sha Tsui,Guesthouse,Private room,Real Bed,196.0,34,9.0,0.0,0.0,0.0,0.6082191780821917
"Double room, livingroom and terrace",Spain,41.40124,2.15207,Vila de Gràcia,Apartment,Private room,Real Bed,25.0,6,10.0,1.0,1.0,1.0,1.0
★ Luxury Loft | Pool | Gym | Spotless ★,Canada,45.48112,-73.58786,Saint-Henri,Apartment,Entire home/apt,Real Bed,60.0,37,10.0,0.7,0.85,0.9,0.9753424657534246
KONA COUNTRY CLUB VILLAS,United States,19.56773,-155.95926,Kailua/Kona,Barn,Entire home/apt,Real Bed,135.0,19,10.0,0.8,0.8166666666666667,0.8777777777777778,0.6136986301369862
"1BR condo, full kitchen, Lanai, value in Kapaa",United States,22.05532,-159.32473,Kauaʻi,Condominium,Entire home/apt,Real Bed,129.0,20,10.0,0.8666666666666667,0.9,0.8777777777777778,0.5287671232876712
"Fantastic Studio, Heart of Central",Hong Kong,22.28091,114.15313,Central & Western District,Apartment,Entire home/apt,Real Bed,848.0,147,10.0,0.4666666666666667,0.2333333333333332,0.1555555555555555,0.0383561643835616
Air conditioned townhouse with furnished room!!,United States,21.32452,-158.07366,Makakilo/Kapolei/Honokai Hale,Townhouse,Private room,Real Bed,85.0,91,10.0,0.0333333333333333,0.15,0.0999999999999999,0.0246575342465753
Single private room(Gray),Turkey,41.02976,28.97604,Karaköy,Apartment,Private room,Real Bed,63.0,20,10.0,1.0,1.0,1.0,0.2821917808219177
Auwailani Garden Apartment,United States,21.41246,-157.79928,Windward Side,Apartment,Entire home/apt,Real Bed,96.0,70,10.0,0.6,0.5333333333333333,0.4333333333333333,0.1890410958904109
Happy studio,Portugal,41.13444,-8.63583,Vila Nova de Gaia,Apartment,Entire home/apt,Real Bed,35.0,4,10.0,0.0,0.0,0.0,0.0
Luxury condo with free indoor parking,Canada,45.48985,-73.57601,Downtown Montreal,Condominium,Entire home/apt,Real Bed,94.0,19,9.0,0.8,0.9,0.9111111111111112,0.978082191780822
Private Sunny Room in Bushwick,United States,40.69055,-73.91599,Brooklyn,Apartment,Private room,Real Bed,30.0,0,,1.0,1.0,1.0,1.0
Modern Sunny Midtown Gem,United States,40.74452,-73.98163,Manhattan,Apartment,Entire home/apt,Real Bed,195.0,14,10.0,1.0,1.0,1.0,1.0
"Clean, bright & cozy bedroom /w convenient parking",Canada,45.4797,-73.63139,Hempstead,Apartment,Private room,Real Bed,50.0,9,10.0,0.7,0.35,0.2333333333333332,0.5643835616438356
Cosy Terrace Studio,Portugal,41.16112,-8.61902,Porto,Apartment,Entire home/apt,Real Bed,35.0,55,10.0,0.0,0.0,0.0,0.5178082191780822
FURNISHED BACHELOR APARTMENT,Canada,45.53707,-73.60503,Rosemont-La Petite-Patrie,Apartment,Entire home/apt,Real Bed,60.0,33,9.0,1.0,1.0,1.0,1.0
JF Cozy Apartment Blue,Portugal,41.14868,-8.61336,Porto,Apartment,Entire home/apt,Real Bed,70.0,59,10.0,0.3666666666666667,0.4666666666666667,0.5222222222222221,0.1945205479452054
近大学24小时安保豪华公寓长短租,Canada,45.49594,-73.57264,Downtown Montreal,Apartment,Entire home/apt,Real Bed,105.0,0,,0.0,0.0,0.0,0.0
Room in a historical apartment in Beyoglu.,Turkey,41.03494,28.98141,Beyoglu,Serviced apartment,Private room,Real Bed,111.0,2,10.0,0.0333333333333333,0.0166666666666667,0.011111111111111,0.7561643835616438
Renovated 20min train to enter city 5min to subway,United States,40.63993,-73.98209,Borough Park,Townhouse,Private room,Real Bed,41.0,90,10.0,0.2666666666666667,0.1333333333333333,0.0888888888888889,0.7753424657534247
"Double sized room with king bed, perfect location",Australia,-33.89957,151.19156,Alexandria,Townhouse,Private room,Real Bed,63.0,3,10.0,1.0,1.0,1.0,1.0
Sunny Modern Bedroom 30 seconds from Subway!,United States,40.75844,-73.93154,Astoria,Apartment,Private room,Real Bed,100.0,13,10.0,1.0,1.0,1.0,1.0
Huge private bedroom in the heart of Manhattan,United States,40.76387,-73.9618,Manhattan,Apartment,Private room,Real Bed,72.0,41,10.0,1.0,1.0,1.0,1.0
TPC - Ribeira Marchands d’Or Apartment,Portugal,41.14211,-8.6137,Porto,Apartment,Entire home/apt,Real Bed,60.0,77,9.0,0.0,0.0,0.0,0.0082191780821917
